"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\common\components\ProfileInfo\ProfileInfo.js", "JavaScript", 41, 0, 0, 3, 44
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\common\components\Profile\Profile.js", "JavaScript", 18, 0, 0, 3, 21
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\course\components\Course\Course.js", "JavaScript", 16, 0, 0, 4, 20
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\error\components\ErrorPage\ErrorPage.js", "JavaScript", 14, 0, 0, 2, 16
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\folder\components\Folder\Folder.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\module\components\ModuleCreate\ModuleCreate.js", "JavaScript", 56, 0, 0, 3, 59
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\module\components\ModuleView\ModuleView.js", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\module\components\ModuleWrapper\ModuleWrapper.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\module\module.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\root\components\Index\Index.js", "JavaScript", 7, 0, 0, 0, 7
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\@modules\root\components\Root\Root.js", "JavaScript", 26, 0, 0, 2, 28
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\data\modules.js", "JavaScript", 18, 0, 0, 1, 19
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\index.css", "CSS", 0, 12, 0, 2, 14
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\index.js", "JavaScript", 55, 0, 0, 8, 63
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"c:\Users\Daniyar\Desktop\Frontend\7 React\god-of-words\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 319, 12, 4, 41, 376